InvoiceNumber,Date,Vendor,Description,Quantity,UnitPrice,Subtotal,Tax,Total,DueDate,Status
INV-2026-0001,2026-01-05,Tech Supplies Co.,Office Equipment,3,1200.00,3600.00,315.00,3915.00,2026-02-04,Paid
INV-2026-0002,2026-01-12,Cloud Services Ltd.,Server Hosting,1,850.00,850.00,74.38,924.38,2026-02-11,Paid
INV-2026-0003,2026-01-20,Design Studio,UI/UX Design Services,10,150.00,1500.00,131.25,1631.25,2026-02-19,Paid
INV-2026-0004,2026-02-03,Network Solutions,VPN Setup,1,600.00,600.00,52.50,652.50,2026-03-05,Paid
INV-2026-0005,2026-02-14,Software Vendors Inc.,License Renewal,5,200.00,1000.00,87.50,1087.50,2026-03-16,Paid
INV-2026-0006,2026-02-22,Office Depot,Stationery Supplies,20,25.00,500.00,43.75,543.75,2026-03-24,Paid
INV-2026-0007,2026-03-01,Cloud Services Ltd.,Data Storage,1,450.00,450.00,39.38,489.38,2026-03-31,Paid
INV-2026-0008,2026-03-10,Tech Supplies Co.,Laptop Accessories,8,75.00,600.00,52.50,652.50,2026-04-09,Pending
INV-2026-0009,2026-03-18,Consulting Group,Project Management,15,200.00,3000.00,262.50,3262.50,2026-04-17,Overdue
INV-2026-0010,2026-03-25,Network Solutions,Firewall Configuration,1,1200.00,1200.00,105.00,1305.00,2026-04-24,Pending
